Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,YearBuilt,YearRemodAdd,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,Functional,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice,MSSubclass_category,TotalBath,TotalPorchSF,TotalQual,BsmtTotalQual,BsmtQualFin_1and2,HasWoodDeckSF,HasTotalPorchSF
11,20,40,9.323669057283185,2,10,20,5,3,7,3,5,1965,1965,3,3,3,4,906,2,0,134,1040,5,1,5,6.946975992135418,8,0,1,3,0.0,2,2008,7,5,11.771436160121729,30,2.0,0.0,281,12.35254562920269,189.2657646868133,0,0
12,60,40,9.386308454797962,2,20,20,5,3,25,3,7,2005,2006,6,5,3,7,998,2,0,177,1175,5,1,5,7.751045117971802,8,2,3,3,4.990432586778736,7,2006,9,6,12.751299696013497,30,4.0,3.044522437723423,485,20.789965986394556,341.80920844822515,1,1
13,20,40,9.470240063415512,2,30,20,5,3,7,3,5,1962,1962,3,3,3,6,737,2,0,175,912,3,1,5,6.815639990074331,8,0,1,3,4.941642422609304,9,2008,7,5,11.877568578558138,30,2.0,5.170483995038151,306,13.651697699890471,270.1040449355256,1,1
14,20,40,9.273502946933823,2,20,20,5,3,17,3,5,2006,2007,6,4,3,2,0,2,0,1494,1494,5,1,5,7.309212365692763,8,1,3,3,5.075173815233827,8,2007,9,6,12.540757571577291,30,2.0,3.4965075614664802,383,11.00066889632107,0.0,1,1
15,20,40,9.298351249298896,2,20,20,2,3,10,3,5,1960,1960,3,3,3,5,733,2,0,520,1253,3,1,5,7.133295954896068,8,1,1,3,0.0,5,2008,7,5,11.964001084330445,30,2.5,5.963579343618446,306,11.507974481658692,235.37190915136625,0,1
16,45,20,8.719317375506371,2,10,20,2,3,6,3,1,1929,2001,2,3,3,2,0,2,0,832,832,5,1,4,6.74993119378857,8,0,2,3,3.871201010907891,7,2007,7,5,11.790557201568507,10,1.0,4.718498871295094,436,8.001200480192077,0.0,1,1
17,20,40,9.327323087461798,2,20,20,1,3,10,3,5,1970,1970,3,3,3,6,578,2,0,426,1004,5,1,5,6.911747300251674,8,1,2,3,0.0,3,2010,7,5,11.911701584927597,30,2.0,0.0,366,12.02686567164179,263.8442881849691,0,0
18,90,40,9.286467732363734,2,10,20,5,3,7,5,5,1967,1967,5,3,3,2,0,2,0,0,0,3,1,5,7.16703787691222,8,0,2,3,0.0,10,2006,7,5,11.407564949312402,10,2.0,0.0,256,9.0,0.0,0,0
19,20,40,9.524786081697178,2,10,20,5,3,13,3,5,2004,2004,6,3,3,7,646,2,0,468,1114,5,1,5,7.01571242048723,8,0,2,3,0.0,6,2008,7,5,11.976659481202368,30,2.5,4.624972813284271,294,12.635874439461883,317.8974938125832,0,1
20,20,40,8.930626469173578,2,10,20,5,3,10,3,5,1958,1965,3,3,3,3,504,2,0,525,1029,3,1,5,7.199678345691172,7,0,1,3,0.0,5,2009,3,2,11.842229212112828,30,1.0,0.0,306,9.958252427184467,129.54515052243454,0,0
21,60,40,9.5620530240851,2,20,20,2,3,25,3,7,2005,2006,6,5,3,2,0,2,0,1158,1158,5,1,5,7.773173680482536,8,1,3,3,5.480638923341991,11,2006,9,6,12.692503112461443,30,3.5,5.0369526024136295,408,14.000862812769629,0.0,1,1
22,45,20,8.915835074176277,2,10,10,5,3,2,3,1,1930,1950,6,3,3,2,0,2,0,637,637,5,1,2,7.010311867307229,8,1,1,1,0.0,6,2007,7,5,11.845102777308561,10,1.0,5.3230099791384085,414,8.001567398119121,0.0,0,1
23,20,40,9.184201714366488,2,10,20,5,3,17,3,5,2002,2002,6,4,3,2,0,2,0,1777,1777,5,1,5,7.492760300922379,8,1,2,3,5.14166355650266,9,2008,7,5,12.345834587905333,30,2.0,5.0689042022202315,408,11.000562429696288,0.0,1,1
24,120,20,8.348537825386098,2,10,20,5,3,1,1,5,1976,1976,6,4,3,7,840,2,0,200,1040,3,1,5,6.966024187106113,8,1,2,3,4.605170185988092,6,2007,7,5,11.77452020265869,20,2.0,4.700480365792417,331,17.456292026897216,327.5406332541789,1,1
25,20,40,9.017483513266844,2,20,20,5,3,7,3,5,1968,2001,3,3,3,4,188,6,668,204,1060,5,1,5,6.966024187106113,8,1,1,3,6.0063531596017325,5,2010,7,5,11.944707881395766,30,2.0,4.499809670330265,408,13.29406220546654,418.029819358386,1,1
26,20,40,9.563107691083898,2,10,20,2,3,25,3,5,2007,2007,6,4,3,2,0,2,0,1566,1566,5,1,5,7.3777589082278725,8,1,3,3,0.0,7,2009,7,5,12.454103912352162,30,2.0,4.02535169073515,408,11.000638162093171,0.0,0,1
27,20,40,8.881836305004146,2,10,20,2,3,10,3,5,1951,2000,3,3,3,5,234,4,486,180,900,3,1,5,6.802394763324311,8,0,2,3,5.402677381872279,5,2010,7,5,11.811547477460344,30,1.5,3.4657359027997265,344,12.256381798002218,354.1291437366563,1,1
28,20,40,9.348187438668308,2,10,20,5,3,25,3,5,2007,2008,6,5,3,7,1218,2,0,486,1704,5,1,5,7.440733707389261,8,1,3,3,0.0,5,2010,7,5,12.631340380934517,30,3.0,3.912023005428146,408,19.715542521994134,370.13501847197125,0,1
29,20,40,9.700207901150696,2,20,20,1,3,10,3,5,1957,1997,3,3,3,5,1277,2,0,207,1484,3,1,5,7.3777589082278725,8,2,1,3,5.662960480135946,12,2006,7,5,12.24288661865289,30,2.0,5.552959584921617,306,13.16026936026936,261.1997623761292,1,1
30,30,20,8.752107198329362,2,20,20,5,3,6,3,5,1927,1950,2,3,3,2,0,2,0,520,520,2,0,5,6.253828811575473,8,0,1,3,3.8918202981106265,5,2008,7,5,11.134589024250317,10,1.0,4.465908118654584,263,8.001919385796546,0.0,1,1
31,70,10,9.047821442478408,2,10,20,5,3,2,3,7,1920,1950,2,3,3,2,0,2,0,649,649,3,0,5,7.183111701743281,8,0,1,1,0.0,7,2008,7,5,10.596634733096073,20,1.0,5.420534999272286,197,8.00153846153846,0.0,0,1
32,20,40,9.052984561199976,2,20,20,1,3,7,3,5,1966,2006,3,3,3,2,0,2,0,1228,1228,4,1,5,7.113142108707088,8,0,1,3,0.0,6,2008,7,5,11.914047823644255,30,1.5,4.174387269895637,319,8.000813669650123,0.0,0,1
33,20,40,9.310095205113175,2,10,20,2,3,17,3,5,2007,2007,6,5,3,2,0,2,0,1234,1234,5,1,5,7.1180162044653335,8,0,2,3,0.0,1,2008,7,5,12.100156419938624,30,2.0,3.4011973816621555,408,14.000809716599191,0.0,0,1
34,20,40,9.26407069439715,2,20,20,5,3,10,3,5,1959,1959,3,3,3,4,1018,2,0,380,1398,4,1,5,7.438383530044307,8,1,2,3,0.0,4,2010,7,5,12.016726473799254,30,2.0,3.6375861597263857,294,11.639027877055039,200.691002440675,0,1
35,120,40,8.89740886527095,2,10,20,5,3,25,1,5,2005,2005,6,5,3,7,1153,2,0,408,1561,5,1,5,7.353081920515432,8,1,2,3,5.313205979041787,8,2007,7,5,12.533576212168626,20,3.0,3.8501476017100584,485,19.905889884763123,362.957129838215,1,1
36,60,40,9.504352368122833,2,10,20,5,3,25,3,7,2004,2005,6,5,3,2,0,2,0,1117,1117,5,1,5,7.804659297056102,8,1,3,3,4.727387818712341,9,2006,7,5,12.641096555879882,30,3.5,3.4657359027997265,408,14.000894454382827,0.0,1,1
37,20,40,9.2927495082169,2,10,20,2,3,17,3,5,1994,1995,6,4,3,2,0,2,0,1097,1097,5,1,5,7.00033446027523,8,0,2,3,5.971261839790462,6,2009,7,5,11.884489021402711,30,1.5,4.1588830833596715,281,11.000910746812385,0.0,1,1
38,20,40,9.05157907959124,2,10,20,5,3,10,3,5,1954,1990,3,3,3,4,1213,2,0,84,1297,4,1,5,7.167809184316444,8,1,2,3,0.0,10,2009,7,5,11.938193200374572,30,1.5,0.0,306,12.673343605546995,203.6357264281367,0,0
39,20,40,8.977398978181862,2,10,20,5,3,10,3,5,1953,2007,3,3,3,7,731,2,0,326,1057,3,1,5,6.963189985870238,8,0,1,3,0.0,1,2010,7,2,11.59910316121128,30,2.0,3.9512437185814275,383,13.52835538752363,321.53736978280597,0,1
40,90,40,8.706159290928861,2,10,20,5,3,5,5,5,1955,1955,6,3,3,2,0,2,0,0,0,3,0,1,7.049254841255837,8,0,0,1,0.0,6,2008,7,1,11.314474526246391,10,2.0,0.0,243,9.0,0.0,0,0
41,20,40,9.066239028001926,2,10,20,5,3,10,3,5,1965,1965,3,3,3,4,643,2,0,445,1088,5,1,5,7.188412736496954,8,1,2,3,0.0,12,2006,7,2,11.982929094215963,30,2.0,4.927253685157205,306,10.953168044077136,180.91486000888796,0,1
42,20,40,9.735364715141987,2,10,20,5,3,22,3,5,1959,1959,3,3,3,5,967,2,0,383,1350,4,1,5,7.191429330036379,8,2,1,2,0.0,7,2007,7,5,12.043553716032399,30,2.0,4.6443908991413725,345,12.295336787564766,247.80400173948368,0,1
43,85,40,9.124782483614537,2,20,20,1,3,13,3,4,1983,1983,3,4,3,6,747,3,93,0,840,4,1,5,6.784457062637643,8,0,2,3,5.480638923341991,12,2007,7,5,11.877568578558138,10,2.0,0.0,344,17.661117717003567,359.18474688530495,1,0
44,20,40,9.126958763037132,2,20,20,1,3,17,3,5,1975,1980,3,4,3,3,280,5,491,167,938,3,1,5,6.843749949006225,8,0,1,3,4.976733742420574,7,2008,7,5,11.777210959615614,30,2.0,0.0,306,15.331203407880723,327.917707284713,1,0
45,20,40,8.980298078970817,2,10,20,5,3,10,3,5,1959,1959,3,3,3,6,179,5,506,465,1150,5,1,4,7.047517221357296,8,0,1,3,0.0,5,2006,7,5,11.856515169360305,30,2.0,0.0,306,11.72719374456994,439.11656045479646,0,0
46,120,40,8.943506132037239,2,10,20,5,3,25,1,5,2005,2005,6,5,3,7,456,2,0,1296,1752,5,1,5,7.468513271496337,8,1,2,3,5.278114659230517,2,2010,7,5,12.675763725937609,20,3.0,4.406719247264253,485,16.081574443810613,320.22041810620857,1,1
47,50,40,9.458917724547202,2,20,20,1,3,12,3,2,2003,2003,6,5,3,7,1351,2,0,83,1434,5,1,5,7.67275789664251,8,1,2,3,5.123963979403259,8,2009,7,2,12.387085012375499,30,2.5,5.484796933490655,383,21.532404181184667,366.8288295155273,1,1
48,20,50,9.314339961994667,2,10,20,5,3,21,3,5,2006,2006,6,4,3,7,24,2,0,1632,1656,5,1,5,7.412160334945205,8,0,3,3,0.0,7,2007,7,5,12.428015476267865,30,2.0,4.983606621708336,408,11.116475558237779,167.02536823803072,0,1
49,190,20,8.40200678160712,2,10,20,5,3,4,4,7,1920,2008,2,3,3,2,0,2,0,736,736,4,1,5,7.280697195384741,8,0,0,1,0.0,6,2009,9,6,11.635143097694478,20,2.0,4.624972813284271,256,8.00135685210312,0.0,0,1
50,20,40,8.954415331137593,2,10,20,5,3,7,3,5,1966,1966,3,3,3,5,763,2,0,192,955,5,1,5,6.86171134048073,8,0,1,3,0.0,1,2007,7,5,11.751942365440728,30,2.0,0.0,331,12.789748953974895,227.79441813215342,0,0
51,60,40,9.537411412656335,2,30,20,2,3,14,3,7,1997,1997,6,4,3,7,182,2,0,612,794,4,1,5,7.293017679772782,8,0,2,3,0.0,7,2007,7,5,12.083905011555967,30,2.5,4.31748811353631,336,12.832704402515722,243.53511539160607,0,1
52,50,20,8.738735461363474,2,10,20,5,3,6,3,2,1934,1950,6,3,3,2,0,2,0,816,816,3,1,5,7.069874128458572,8,1,2,3,4.718498871295094,9,2006,7,5,11.648330101976432,30,1.0,0.0,336,8.001223990208079,0.0,1,0
53,90,20,9.044521887281242,1,30,10,2,2,2,5,5,1963,1963,3,4,3,3,104,7,712,0,816,3,0,5,6.704414354964107,8,0,2,3,4.663439094112067,5,2010,7,5,11.608235644774552,10,2.0,0.0,242,18.482252141982862,401.99133552963957,1,0
54,20,40,10.825183649068833,2,20,30,5,3,20,3,5,1981,1987,3,5,3,7,1810,2,0,32,1842,4,1,5,7.518607216815252,8,1,3,3,6.75343791859778,11,2006,7,5,12.86099861326992,30,2.5,4.276666119016055,433,21.85729788388497,394.84140091513984,1,1
55,80,40,8.872627365918836,2,10,10,5,2,10,3,6,1955,1955,3,3,3,6,384,2,0,0,384,3,1,5,7.215239978730097,7,1,2,3,0.0,2,2007,7,5,11.77528972943772,20,1.0,3.912023005428146,281,14.984415584415585,212.64663718345165,0,1
56,20,40,9.227689010310796,2,20,20,5,3,10,3,5,1964,1964,3,3,3,5,490,2,0,935,1425,4,1,5,7.261927092702751,8,1,2,3,0.0,7,2008,7,5,12.103486056755072,30,2.0,6.008813185442595,306,10.062412342215989,225.01236173429686,0,1
57,160,50,7.8804263442924,2,10,20,5,3,21,2,7,1999,2000,6,4,3,7,649,2,0,321,970,5,1,5,7.461065514354283,8,0,2,3,4.74493212836325,8,2009,7,2,12.058152515453552,20,3.5,0.0,408,16.3480947476828,311.8551130663886,1,0
58,60,40,9.36263218231844,2,20,20,2,3,17,3,7,2004,2004,6,4,3,2,0,2,0,860,860,5,1,5,7.450079569807499,8,0,2,3,0.0,8,2006,7,5,12.188417710291453,30,2.5,4.248495242049359,383,11.00116144018583,0.0,0,1
59,60,40,9.523836379320944,2,30,40,1,3,23,3,7,2006,2006,6,5,3,2,0,2,0,1410,1410,5,1,5,7.987864096085687,8,1,3,3,5.2574953720277815,10,2006,9,6,12.991753427493052,30,3.5,3.6109179126442243,497,14.000708717221828,0.0,1,1
60,20,40,8.881836305004146,2,10,10,5,3,17,3,5,1972,1972,3,3,3,6,632,2,0,148,780,5,1,5,6.659293919683638,8,0,1,3,5.278114659230517,1,2008,7,5,11.73526869611367,30,1.0,0.0,331,13.665813060179257,257.78305799105647,1,0
61,20,40,9.478227817099784,2,10,20,5,3,13,3,5,2004,2004,6,4,3,6,941,2,0,217,1158,5,1,5,7.05444965813294,8,0,2,3,0.0,5,2006,9,6,11.970350312009105,30,2.5,3.912023005428146,319,16.684210526315788,289.8889173898619,0,1
62,75,20,8.881836305004146,2,10,20,5,3,2,3,3,1920,1996,2,3,2,2,0,2,0,530,530,3,0,5,7.01301578963963,8,0,1,1,0.0,3,2007,7,5,11.522875795823397,20,1.0,4.969813299576001,318,5.001883239171375,0.0,0,1
63,120,40,8.770594329891145,2,20,20,5,3,25,1,5,2006,2006,6,4,4,7,24,2,0,1346,1370,5,1,5,7.222566018822171,8,1,2,3,4.787491742782046,10,2007,7,5,12.218495165528731,20,2.0,3.8918202981106265,408,15.14077315827863,162.75624287172639,1,1
64,70,20,9.239899174217728,2,20,10,5,3,4,3,7,1921,1950,2,3,3,2,0,2,0,576,576,4,1,5,7.444248649496705,8,0,2,3,2.4849066497880004,4,2010,7,5,11.84939770159144,20,2.0,4.31748811353631,366,8.001733102253032,0.0,1,1
65,60,40,9.14580185083861,2,10,20,5,3,17,3,7,1997,1998,6,4,3,7,739,2,0,318,1057,5,1,5,7.617759576608505,8,0,2,3,6.3561076606958915,2,2009,7,5,12.299107511497363,30,3.5,3.58351893845611,344,16.58884688090737,322.0672548834483,1,1
66,60,40,9.16858043772795,2,10,20,5,3,25,3,7,2004,2005,6,5,3,2,0,2,0,1143,1143,5,1,5,7.813187267521416,8,1,3,3,5.2574953720277815,10,2007,7,5,12.666657052859417,30,2.5,5.017279836814924,408,14.000874125874127,0.0,1,1
67,20,40,9.898475010712584,2,10,20,5,3,10,3,5,1970,1989,3,4,3,7,912,2,0,1035,1947,3,1,5,7.699389406256737,7,1,2,3,5.707110264748875,7,2010,7,5,12.100712129872347,30,3.0,0.0,331,14.745893223819301,361.43635219249654,1,0
68,20,40,9.274722630905451,2,20,20,5,3,17,3,5,2003,2003,6,4,3,7,1013,2,0,440,1453,5,1,5,7.2991214627108,8,0,2,3,4.969813299576001,6,2007,7,5,12.328290278254423,30,3.0,3.367295829986474,383,16.574277854195323,352.8281731319379,1,1
69,30,20,8.435549202375727,2,10,20,2,3,4,3,5,1945,1950,3,3,3,2,0,2,0,747,747,3,1,5,6.616065185132817,8,0,1,3,0.0,6,2010,7,5,11.289781913656018,10,1.0,0.0,315,8.001336898395722,0.0,0,0
70,50,40,9.654577374584886,2,10,20,2,3,18,3,2,1953,1953,3,3,3,5,603,2,0,701,1304,3,1,5,7.734996194022781,8,1,2,3,0.0,7,2006,7,5,12.323855681186558,30,2.0,4.90527477843843,335,10.773180076628352,229.694871967272,0,1
71,20,40,9.521568058002977,2,20,20,5,3,10,3,5,1973,1973,3,4,3,6,1880,2,0,343,2223,5,1,5,7.706612913964197,8,2,2,3,5.703782474656201,2,2007,7,5,12.404923504275338,30,3.0,0.0,405,16.91771582733813,348.6471137476482,1,0
72,20,40,8.935771938669784,2,10,20,2,3,12,3,5,1982,2006,3,3,3,6,565,2,0,280,845,3,1,5,6.739336627357174,8,0,2,3,0.0,6,2007,7,5,11.771436160121729,30,2.0,0.0,276,12.67612293144208,256.3524965808835,0,0
73,60,40,9.224341891611996,2,20,20,2,3,14,3,7,1998,1998,6,4,3,2,0,2,0,832,832,4,1,5,7.4489161025442,8,1,2,3,0.0,12,2009,7,5,12.128111104060462,30,2.5,5.953243334287785,331,11.001200480192077,0.0,0,1
74,20,40,9.230142999272362,2,10,20,5,3,10,3,5,1954,2003,3,3,3,6,320,5,362,404,1086,4,1,5,6.990256500493881,8,0,2,3,0.0,5,2010,7,5,11.883799128308773,30,2.0,0.0,331,12.059797608095675,448.1390590039156,0,0
75,50,20,8.663887570567042,2,10,20,2,3,4,3,7,1915,1950,3,2,3,2,0,2,0,840,840,4,0,5,7.380879035564116,8,0,1,3,0.0,5,2010,7,5,11.584315461056901,30,2.0,5.308267697401205,337,5.001189060642092,0.0,0,1
76,180,20,7.3752557780097545,2,10,20,5,3,1,2,6,1973,1973,3,4,3,7,462,2,0,0,462,3,1,5,6.895682697747868,8,0,1,3,4.787491742782046,11,2009,7,5,11.418614785498987,10,2.0,4.61512051684126,256,18.98488120950324,263.70185373323454,1,1
77,20,40,9.044875932248651,2,20,20,5,3,10,3,5,1956,1956,3,3,3,6,228,2,0,724,952,5,1,4,6.858565034791365,8,0,1,3,0.0,4,2008,7,5,11.818570237796182,30,1.0,0.0,296,9.67576075550892,223.6394426273666,0,0
78,50,20,9.06357899058078,2,10,20,5,3,6,3,2,1948,2001,3,3,3,5,336,7,41,295,672,3,1,5,7.158513997329321,7,0,1,3,0.0,1,2008,7,5,11.751942365440728,30,2.0,0.0,281,11.484398216939079,359.865757963617,0,0
79,90,40,9.285262298493443,2,10,20,5,3,7,5,5,1968,1968,3,3,3,2,0,2,0,1768,1768,3,0,5,7.477604243197589,8,0,0,3,0.0,4,2010,7,5,11.824079893607152,10,2.0,0.0,256,8.000565291124929,0.0,0,0
80,50,20,9.25339986143663,2,10,20,2,3,4,3,7,1910,1981,6,3,3,2,0,2,0,440,440,4,1,5,7.114769448366463,8,0,2,3,4.30406509320417,5,2009,7,5,11.608235644774552,30,1.5,4.852030263919617,306,8.002267573696145,0.0,1,1
81,60,40,9.472704636443673,2,10,20,2,3,10,3,7,1968,1968,3,4,3,4,448,2,0,448,896,3,1,5,7.669495251007694,8,1,1,3,0.0,6,2009,7,5,12.173032791451973,30,2.5,5.780743515792329,388,13.498327759197323,166.08795905852486,0,1
82,120,20,8.411832675758411,2,10,20,3,3,12,1,5,1998,1998,6,5,4,7,1201,2,0,36,1237,5,1,5,7.198183577101943,8,0,2,3,0.0,3,2006,7,5,11.941455846009388,20,3.0,5.293304824724492,345,26.761712439418417,353.51460154429293,0,1
83,20,40,9.230731061623917,2,10,20,5,3,21,3,5,2007,2007,6,4,3,7,33,2,0,1530,1563,5,1,5,7.354362330421477,8,1,3,3,4.969813299576001,10,2008,7,5,12.409013489526863,30,2.0,4.59511985013459,369,11.169437340153452,181.55471903143126,1,1
84,20,40,9.092907275084087,2,20,20,5,3,10,3,5,1960,1960,3,3,3,2,0,2,0,1065,1065,4,1,5,6.970730078143525,8,0,2,3,4.30406509320417,7,2007,3,5,11.747997587149712,30,1.5,0.0,281,8.00093808630394,0.0,1,0
85,80,40,9.051344640485725,2,20,20,5,3,14,3,6,1995,1996,6,4,3,2,0,2,0,384,384,4,1,5,7.295735072749282,8,1,2,3,4.787491742782046,5,2009,7,5,12.034691028774553,20,2.5,4.276666119016055,331,11.002597402597402,0.0,1,1
86,60,40,9.68402471906149,2,10,20,2,3,24,3,7,1991,1992,3,4,3,2,0,2,0,1288,1288,5,1,5,7.790282380703483,8,1,2,3,4.844187086458591,4,2006,7,5,12.468436909997665,30,2.5,4.406719247264253,408,11.00077579519007,0.0,1,1
87,60,40,9.385217621880901,2,30,20,5,3,14,3,7,2005,2005,6,4,3,2,0,2,0,684,684,5,1,5,7.352441100243583,8,1,2,3,4.605170185988092,3,2009,7,5,12.066810578196666,30,2.5,3.6375861597263857,358,11.001459854014598,0.0,1,1
88,160,50,8.281723990411392,2,10,20,2,3,21,1,7,2009,2009,6,4,3,2,0,2,0,612,612,5,1,5,7.1098794630722715,8,0,2,3,0.0,6,2009,9,6,12.010665849187564,20,2.5,5.455321115357702,358,11.00163132137031,0.0,0,1
89,50,10,9.0442857876461,2,20,20,2,3,2,3,2,1915,1982,3,3,2,2,0,2,0,1013,1013,3,0,5,7.330405211844402,8,0,0,1,0.0,10,2009,4,2,11.350406535472453,30,1.0,5.049856007249537,108,5.000986193293886,0.0,0,1
90,20,40,8.995908761263994,2,10,20,5,3,17,3,5,1994,1995,6,4,3,7,588,2,0,402,990,5,1,5,6.897704943128636,8,0,0,3,0.0,8,2007,7,5,11.724805824005728,30,2.0,0.0,256,15.747729566094854,308.02058993515715,0,0
91,20,40,8.881836305004146,2,10,20,5,3,10,3,5,1950,1950,5,3,3,2,0,2,0,0,0,3,1,4,6.946975992135418,8,0,2,3,0.0,7,2006,7,5,11.607326140391713,30,1.0,3.367295829986474,256,9.0,0.0,0,1
92,20,40,9.047821442478408,2,10,20,5,3,10,3,5,1961,1961,3,3,3,4,600,2,0,635,1235,3,1,5,7.118826249062078,8,0,2,3,0.0,12,2006,7,2,11.498826540590727,30,1.0,0.0,231,10.42799352750809,182.22265811662393,0,0
93,30,40,9.500020447090638,2,20,40,5,3,19,3,5,1921,2006,2,4,3,6,713,2,0,163,876,5,1,5,6.871091294610546,8,0,2,3,0.0,8,2009,7,5,12.004568269319446,10,2.0,3.784189633918261,370,16.6921322690992,267.1658060421206,0,1
94,190,10,8.881836305004146,2,10,20,2,3,4,4,3,1910,1998,2,3,2,4,1046,2,0,168,1214,5,0,5,7.736743682453495,8,1,2,3,0.0,11,2007,7,5,11.804848531679264,20,2.5,4.59511985013459,336,9.305349794238683,197.55415051187333,0,1
95,60,40,9.141740280483926,2,20,20,5,3,17,3,7,1997,1997,6,4,3,7,648,2,0,176,824,5,1,5,7.487733761436444,8,0,2,3,0.0,5,2007,7,5,12.229545001715316,30,3.5,5.087596335232384,358,17.284848484848485,304.39509299557886,0,1
96,60,40,9.186559843310778,2,30,20,2,3,14,3,7,1993,1993,6,4,4,6,310,2,0,370,680,4,1,5,7.293017679772782,8,1,2,3,5.44673737166631,4,2009,7,5,12.128111104060462,30,2.5,4.143134726391533,539,18.187958883994128,224.66338012197954,1,1
97,20,40,9.236397906295473,2,20,20,5,3,17,3,5,1999,1999,6,4,3,6,1162,2,0,426,1588,5,1,5,7.370230641807081,8,0,2,3,5.062595033026967,8,2006,7,5,12.273731294003989,30,2.0,3.367295829986474,383,16.11957205789805,312.17471574969676,1,1
98,20,40,9.298442820197728,2,10,40,5,3,5,3,5,1965,1965,3,3,3,4,520,2,0,440,960,3,1,2,6.866933284461882,8,0,1,2,4.787491742782046,5,2007,7,5,11.458997122944673,30,2.0,0.0,256,10.706555671175858,171.85732478270785,1,0
99,30,40,9.270964993792617,2,10,20,2,3,5,3,5,1920,1950,2,3,3,6,108,2,0,350,458,2,0,5,6.727431724850855,8,0,1,3,0.0,5,2010,3,2,11.326595886778735,10,1.0,4.343805421853684,281,9.649237472766885,172.52104033826177,0,1
100,20,40,9.139917907679637,2,20,20,5,3,10,3,5,1959,1959,3,3,3,6,569,2,0,381,950,2,1,5,7.110696122978827,8,0,0,3,5.863631175598097,1,2010,7,5,11.76718001130949,30,2.5,0.0,256,12.189274447949527,261.0917434810887,1,0
